"seqnames"	"start"	"end"	"width"	"strand"	"Conc"	"Conc_dex"	"Conc_control"	"Fold"	"p.value"	"FDR"
"chr2"	105404048	105404548	501	"*"	8.08	7.46	8.51	-1.05	1.5e-09	2.49e-08
"chr2"	231695971	231696471	501	"*"	5.87	6.6	4.31	2.29	1.5e-09	2.5e-08
"chr5"	173051736	173052236	501	"*"	6.68	7.32	5.52	1.8	1.51e-09	2.51e-08
"chr1"	54544065	54544565	501	"*"	7.32	6.52	7.84	-1.31	1.51e-09	2.51e-08
"chr10"	99994143	99994643	501	"*"	5.01	5.92	1.97	3.95	1.52e-09	2.53e-08
"chr11"	6357085	6357585	501	"*"	6.31	5.04	6.97	-1.92	1.53e-09	2.54e-08
"chr9"	109117632	109118132	501	"*"	5.47	6.46	-0.04	6.49	1.53e-09	2.54e-08
"chr4"	143377700	143378200	501	"*"	5.51	6.49	-0.04	6.53	1.53e-09	2.55e-08
"chr13"	109776608	109777108	501	"*"	6.16	6.84	4.81	2.03	1.53e-09	2.55e-08
"chr22"	40277341	40277841	501	"*"	5.28	6.12	3.04	3.09	1.54e-09	2.56e-08
"chrX"	134524202	134524702	501	"*"	5.03	5.92	2.29	3.63	1.54e-09	2.56e-08
"chr1"	25584727	25585227	501	"*"	5.12	6.09	0.53	5.56	1.54e-09	2.56e-08
"chr11"	88357448	88357948	501	"*"	5.08	5.96	2.43	3.53	1.55e-09	2.57e-08
"chr6"	144899088	144899588	501	"*"	7.1	6.21	7.65	-1.44	1.55e-09	2.57e-08
"chr17"	15364598	15365098	501	"*"	4.96	5.9	1.31	4.59	1.55e-09	2.58e-08
"chr2"	42954395	42954895	501	"*"	4.96	5.9	1.31	4.59	1.55e-09	2.58e-08
"chr4"	122777789	122778289	501	"*"	8.2	7.59	8.63	-1.04	1.55e-09	2.58e-08
"chr1"	86841082	86841582	501	"*"	5.47	6.45	-0.04	6.49	1.56e-09	2.58e-08
"chr6"	21915855	21916355	501	"*"	6.73	5.76	7.31	-1.55	1.56e-09	2.58e-08
"chr2"	113632775	113633275	501	"*"	5.47	6.45	-0.04	6.49	1.56e-09	2.59e-08
"chr8"	116320736	116321236	501	"*"	7.32	6.53	7.83	-1.3	1.57e-09	2.6e-08
"chr6"	74638376	74638876	501	"*"	5.11	6.08	0.56	5.52	1.57e-09	2.61e-08
"chr2"	177314263	177314763	501	"*"	7.26	8.15	4.5	3.64	1.58e-09	2.61e-08
"chr11"	61695588	61696088	501	"*"	5.69	6.44	4.05	2.39	1.58e-09	2.62e-08
"chr12"	25972704	25973204	501	"*"	5.01	5.91	2.14	3.76	1.59e-09	2.64e-08
"chr12"	58414314	58414814	501	"*"	7.59	6.87	8.07	-1.2	1.59e-09	2.64e-08
"chr20"	50929282	50929782	501	"*"	5	5.9	2.13	3.77	1.6e-09	2.64e-08
"chr6"	42791920	42792420	501	"*"	5	5.9	2.13	3.77	1.6e-09	2.64e-08
"chr4"	168643154	168643654	501	"*"	5.07	5.95	2.43	3.52	1.6e-09	2.65e-08
"chr4"	86921539	86922039	501	"*"	5.71	6.49	3.93	2.55	1.6e-09	2.65e-08
"chr7"	83547563	83548063	501	"*"	6.39	5.25	7.02	-1.77	1.6e-09	2.65e-08
"chr9"	78026877	78027377	501	"*"	5.73	6.47	4.13	2.34	1.6e-09	2.65e-08
"chr9"	16385855	16386355	501	"*"	5.29	6.13	3.06	3.06	1.6e-09	2.65e-08
"chr4"	2858373	2858873	501	"*"	7.31	7.82	6.5	1.33	1.61e-09	2.66e-08
"chr19"	18207963	18208463	501	"*"	6.71	5.73	7.29	-1.56	1.61e-09	2.67e-08
"chr2"	172282119	172282619	501	"*"	6.45	7.09	5.28	1.81	1.61e-09	2.67e-08
"chr5"	77138857	77139357	501	"*"	4.99	5.94	0.94	5	1.62e-09	2.68e-08
"chr10"	109205826	109206326	501	"*"	7.3	6.46	7.82	-1.36	1.63e-09	2.69e-08
"chr18"	55732083	55732583	501	"*"	5.97	6.68	4.52	2.16	1.63e-09	2.69e-08
"chr11"	12318878	12319378	501	"*"	7.48	6.67	7.99	-1.32	1.64e-09	2.71e-08
"chr14"	63178889	63179389	501	"*"	5.87	4.27	6.61	-2.34	1.64e-09	2.71e-08
"chr21"	25298464	25298964	501	"*"	5.46	6.44	-0.04	6.48	1.64e-09	2.71e-08
"chrX"	136259381	136259881	501	"*"	5.7	6.46	3.95	2.51	1.64e-09	2.71e-08
"chr10"	90968673	90969173	501	"*"	6.94	7.5	6	1.5	1.65e-09	2.72e-08
"chr13"	49265858	49266358	501	"*"	5.51	6.31	3.54	2.77	1.66e-09	2.73e-08
"chr9"	36379613	36380113	501	"*"	5.01	5.92	1.93	3.99	1.66e-09	2.73e-08
"chr17"	4161161	4161661	501	"*"	6.24	6.91	4.98	1.93	1.66e-09	2.73e-08
"chr6"	53819134	53819634	501	"*"	5.46	6.44	-0.04	6.48	1.67e-09	2.75e-08
"chrX"	13212358	13212858	501	"*"	5.44	6.26	3.41	2.85	1.67e-09	2.76e-08
"chr6"	74936851	74937351	501	"*"	7.18	7.7	6.36	1.34	1.68e-09	2.78e-08
"chr7"	18693263	18693763	501	"*"	5.25	6.08	3.05	3.03	1.69e-09	2.78e-08
"chrX"	16871237	16871737	501	"*"	5.04	5.94	2.14	3.8	1.7e-09	2.8e-08
"chr1"	37534342	37534842	501	"*"	7.55	8.04	6.79	1.25	1.7e-09	2.81e-08
"chr2"	225765771	225766271	501	"*"	5.1	6.07	0.56	5.51	1.71e-09	2.81e-08
"chr8"	6605220	6605720	501	"*"	4.95	5.86	1.77	4.09	1.71e-09	2.82e-08
"chr1"	161838800	161839300	501	"*"	5.1	6.07	0.53	5.54	1.72e-09	2.83e-08
"chr1"	97791072	97791572	501	"*"	5.45	6.43	-0.04	6.47	1.73e-09	2.84e-08
"chr2"	19608264	19608764	501	"*"	7.39	7.9	6.6	1.31	1.73e-09	2.85e-08
"chr17"	80068593	80069093	501	"*"	7.65	8.12	6.95	1.17	1.74e-09	2.86e-08
"chr3"	14378356	14378856	501	"*"	5.45	6.43	-0.04	6.47	1.74e-09	2.86e-08
"chr2"	88602080	88602580	501	"*"	5.45	6.44	-0.04	6.47	1.74e-09	2.87e-08
"chr6"	26088295	26088795	501	"*"	4.93	5.88	1.28	4.6	1.75e-09	2.87e-08
"chr7"	15126049	15126549	501	"*"	6.79	5.84	7.36	-1.52	1.75e-09	2.88e-08
"chr15"	39304347	39304847	501	"*"	9.22	8.72	9.59	-0.87	1.75e-09	2.88e-08
"chr2"	39516704	39517204	501	"*"	4.98	5.89	1.95	3.93	1.76e-09	2.89e-08
"chr9"	16484796	16485296	501	"*"	5.45	6.44	-0.04	6.47	1.77e-09	2.91e-08
"chr15"	49848199	49848699	501	"*"	8.19	7.56	8.62	-1.06	1.77e-09	2.92e-08
"chr1"	224579302	224579802	501	"*"	4.95	5.89	1.31	4.58	1.78e-09	2.92e-08
"chr12"	104603474	104603974	501	"*"	7.41	6.66	7.9	-1.24	1.79e-09	2.94e-08
"chr4"	2660685	2661185	501	"*"	5.45	6.43	-0.04	6.47	1.79e-09	2.95e-08
"chr5"	103510876	103511376	501	"*"	4.96	5.91	1.26	4.65	1.79e-09	2.95e-08
"chr9"	115845527	115846027	501	"*"	6.81	7.39	5.83	1.55	1.8e-09	2.95e-08
"chr3"	66654583	66655083	501	"*"	5.11	5.99	2.53	3.46	1.8e-09	2.96e-08
"chr21"	39681472	39681972	501	"*"	5.74	6.51	3.96	2.55	1.81e-09	2.98e-08
"chr1"	150001463	150001963	501	"*"	5.1	6.07	0.53	5.54	1.82e-09	2.98e-08
"chr3"	188604065	188604565	501	"*"	5.1	6.07	0.53	5.54	1.82e-09	2.98e-08
"chr10"	11163148	11163648	501	"*"	5.44	6.43	-0.04	6.46	1.82e-09	2.99e-08
"chr13"	37681531	37682031	501	"*"	6.27	6.94	5	1.93	1.82e-09	2.99e-08
"chr3"	155435861	155436361	501	"*"	6.57	5.51	7.18	-1.67	1.82e-09	2.99e-08
"chr17"	73091335	73091835	501	"*"	5.44	6.43	-0.04	6.46	1.83e-09	3e-08
"chr9"	134231158	134231658	501	"*"	5.44	6.43	-0.04	6.46	1.83e-09	3e-08
"chr12"	46549725	46550225	501	"*"	5.95	6.65	4.51	2.14	1.83e-09	3e-08
"chr17"	71409694	71410194	501	"*"	6.76	5.79	7.33	-1.54	1.83e-09	3e-08
"chr6"	54050690	54051190	501	"*"	4.96	5.9	1.31	4.59	1.83e-09	3.01e-08
"chr1"	39957285	39957785	501	"*"	4.99	5.94	0.94	5	1.84e-09	3.01e-08
"chr6"	117423727	117424227	501	"*"	5.44	6.43	-0.04	6.46	1.84e-09	3.02e-08
"chr10"	30862458	30862958	501	"*"	7.55	8.05	6.79	1.26	1.84e-09	3.02e-08
"chr11"	94145876	94146376	501	"*"	5.44	6.43	-0.04	6.47	1.85e-09	3.03e-08
"chr14"	80491051	80491551	501	"*"	5.47	6.45	-0.04	6.49	1.85e-09	3.03e-08
"chr18"	8303064	8303564	501	"*"	5.72	6.46	4.08	2.38	1.85e-09	3.03e-08
"chr12"	79763534	79764034	501	"*"	4.95	5.89	1.26	4.63	1.86e-09	3.04e-08
"chr15"	98914578	98915078	501	"*"	8.4	8.79	7.85	0.95	1.87e-09	3.06e-08
"chr10"	76244106	76244606	501	"*"	5.68	6.43	4	2.43	1.88e-09	3.07e-08
"chr14"	89702152	89702652	501	"*"	7.9	8.38	7.18	1.21	1.88e-09	3.07e-08
"chr2"	177325387	177325887	501	"*"	5.1	5.97	2.53	3.44	1.89e-09	3.08e-08
"chr12"	24559266	24559766	501	"*"	4.98	5.93	0.98	4.95	1.89e-09	3.09e-08
"chr3"	128623583	128624083	501	"*"	5.44	6.43	-0.04	6.47	1.9e-09	3.1e-08
"chr1"	29417054	29417554	501	"*"	5.1	6.07	0.53	5.54	1.9e-09	3.1e-08
"chr2"	204538648	204539148	501	"*"	5.93	4.5	6.64	-2.14	1.9e-09	3.1e-08
"chr13"	40114502	40115002	501	"*"	5	5.95	0.98	4.97	1.9e-09	3.1e-08
"chr1"	7299218	7299718	501	"*"	8.27	7.66	8.7	-1.04	1.9e-09	3.11e-08
"chr14"	75040419	75040919	501	"*"	5.44	6.42	-0.04	6.46	1.91e-09	3.11e-08
"chr7"	20280967	20281467	501	"*"	7.77	7.09	8.23	-1.15	1.91e-09	3.11e-08
"chr16"	64910215	64910715	501	"*"	5.28	3.01	6.12	-3.11	1.91e-09	3.11e-08
"chr22"	42790564	42791064	501	"*"	4.98	5.93	0.98	4.95	1.92e-09	3.13e-08
"chr9"	95385239	95385739	501	"*"	5.09	6.06	0.53	5.53	1.92e-09	3.13e-08
"chr12"	40263512	40264012	501	"*"	7.63	8.1	6.92	1.18	1.92e-09	3.13e-08
"chr11"	83583955	83584455	501	"*"	7.22	6.39	7.74	-1.35	1.92e-09	3.13e-08
"chr8"	27939792	27940292	501	"*"	5.43	6.42	-0.04	6.46	1.93e-09	3.15e-08
"chr2"	188937234	188937734	501	"*"	5.35	6.17	3.2	2.97	1.93e-09	3.15e-08
"chr7"	131298249	131298749	501	"*"	5.09	6.06	0.53	5.53	1.94e-09	3.16e-08
"chr21"	25575009	25575509	501	"*"	5.47	6.45	-0.04	6.49	1.95e-09	3.17e-08
"chr10"	19561686	19562186	501	"*"	4.95	5.89	1.52	4.37	1.95e-09	3.17e-08
"chr22"	21834607	21835107	501	"*"	5.45	6.43	-0.04	6.47	1.95e-09	3.18e-08
"chr20"	41436629	41437129	501	"*"	5.84	6.58	4.23	2.35	1.96e-09	3.19e-08
"chr12"	96427343	96427843	501	"*"	8.33	7.77	8.74	-0.97	1.96e-09	3.19e-08
"chr2"	43539963	43540463	501	"*"	8.59	8.99	8.02	0.97	1.96e-09	3.19e-08
"chr13"	37429931	37430431	501	"*"	7.12	6.28	7.64	-1.35	1.96e-09	3.19e-08
"chr20"	6519521	6520021	501	"*"	7.4	7.89	6.65	1.24	1.96e-09	3.2e-08
"chr12"	65335052	65335552	501	"*"	6.84	7.41	5.91	1.49	1.97e-09	3.21e-08
"chr11"	63567370	63567870	501	"*"	6.23	6.9	4.91	1.99	1.98e-09	3.21e-08
"chr6"	3876109	3876609	501	"*"	5.45	6.44	-0.04	6.48	1.98e-09	3.21e-08
"chr5"	158456721	158457221	501	"*"	6.67	5.52	7.3	-1.78	1.98e-09	3.22e-08
"chr21"	45164116	45164616	501	"*"	5.62	6.38	3.91	2.47	2.01e-09	3.27e-08
"chr3"	124800367	124800867	501	"*"	5.04	5.93	2.28	3.65	2.02e-09	3.28e-08
"chr2"	128746363	128746863	501	"*"	5.87	6.59	4.35	2.24	2.02e-09	3.28e-08
"chr7"	22577317	22577817	501	"*"	8.32	7.75	8.73	-0.98	2.02e-09	3.28e-08
"chr1"	84363547	84364047	501	"*"	5.45	6.43	-0.04	6.47	2.03e-09	3.29e-08
"chr1"	199335446	199335946	501	"*"	5.43	6.42	-0.04	6.46	2.03e-09	3.29e-08
"chr10"	36531609	36532109	501	"*"	5.87	6.58	4.39	2.2	2.03e-09	3.3e-08
"chr1"	81406240	81406740	501	"*"	5.43	6.41	-0.04	6.45	2.04e-09	3.3e-08
"chr14"	102264780	102265280	501	"*"	5.43	6.41	-0.04	6.45	2.04e-09	3.31e-08
"chr9"	71929129	71929629	501	"*"	6.13	6.83	4.74	2.08	2.04e-09	3.31e-08
"chr10"	111677457	111677957	501	"*"	6.78	7.36	5.8	1.55	2.04e-09	3.31e-08
"chr8"	118908330	118908830	501	"*"	5.43	6.42	-0.04	6.45	2.05e-09	3.33e-08
"chr1"	20482432	20482932	501	"*"	6.76	5.75	7.34	-1.59	2.05e-09	3.33e-08
"chr8"	92648226	92648726	501	"*"	7.37	6.62	7.87	-1.25	2.06e-09	3.34e-08
"chr4"	156169021	156169521	501	"*"	6.07	6.77	4.63	2.15	2.07e-09	3.35e-08
"chr3"	150135314	150135814	501	"*"	5.1	6.07	0.53	5.53	2.07e-09	3.35e-08
"chr12"	125079618	125080118	501	"*"	5.45	6.43	-0.04	6.47	2.07e-09	3.35e-08
"chr3"	44963931	44964431	501	"*"	5.45	6.43	-0.04	6.47	2.07e-09	3.35e-08
"chr2"	233039146	233039646	501	"*"	5.48	6.47	-0.04	6.51	2.08e-09	3.36e-08
"chr14"	49862829	49863329	501	"*"	5.39	6.2	3.36	2.84	2.08e-09	3.36e-08
"chr4"	185839102	185839602	501	"*"	6.16	6.84	4.82	2.02	2.08e-09	3.36e-08
"chr9"	134434802	134435302	501	"*"	6.04	6.73	4.67	2.06	2.08e-09	3.36e-08
"chr15"	50049815	50050315	501	"*"	8.08	7.47	8.51	-1.04	2.08e-09	3.36e-08
"chr2"	65310529	65311029	501	"*"	4.92	5.86	1.29	4.57	2.08e-09	3.37e-08
"chr5"	169946867	169947367	501	"*"	5.03	5.93	2.1	3.83	2.09e-09	3.37e-08
"chr18"	44520975	44521475	501	"*"	6.24	6.9	5.01	1.89	2.1e-09	3.39e-08
"chr1"	214362101	214362601	501	"*"	4.97	5.92	0.94	4.98	2.11e-09	3.41e-08
"chr14"	53538326	53538826	501	"*"	7.57	8.08	6.78	1.3	2.11e-09	3.42e-08
"chr19"	8355598	8356098	501	"*"	8.83	9.21	8.32	0.89	2.13e-09	3.44e-08
"chr11"	110774220	110774720	501	"*"	5.13	6.1	0.56	5.54	2.14e-09	3.46e-08
"chr7"	107958697	107959197	501	"*"	6.17	6.84	4.92	1.92	2.15e-09	3.47e-08
"chr7"	24701642	24702142	501	"*"	6.02	6.76	4.47	2.29	2.15e-09	3.47e-08
"chr7"	137074269	137074769	501	"*"	8.5	7.92	8.92	-0.99	2.15e-09	3.47e-08
"chr9"	115615776	115616276	501	"*"	7.93	7.28	8.38	-1.1	2.15e-09	3.47e-08
"chr17"	82285114	82285614	501	"*"	5.42	6.4	-0.04	6.44	2.15e-09	3.48e-08
"chr14"	52343297	52343797	501	"*"	5.47	6.27	3.56	2.71	2.16e-09	3.49e-08
"chr3"	110307363	110307863	501	"*"	6.57	5.48	7.19	-1.71	2.18e-09	3.51e-08
"chr12"	90091187	90091687	501	"*"	8.14	7.54	8.57	-1.03	2.18e-09	3.51e-08
"chr2"	120521999	120522499	501	"*"	5.45	6.44	-0.04	6.48	2.18e-09	3.52e-08
"chr15"	34628515	34629015	501	"*"	7.39	6.61	7.89	-1.28	2.19e-09	3.52e-08
"chr6"	35182245	35182745	501	"*"	7.13	6.3	7.66	-1.36	2.2e-09	3.55e-08
"chr18"	22517180	22517680	501	"*"	5.1	6.07	0.56	5.51	2.21e-09	3.56e-08
"chr7"	79823459	79823959	501	"*"	6.34	6.99	5.11	1.88	2.21e-09	3.56e-08
"chr7"	95628678	95629178	501	"*"	5.42	6.4	-0.04	6.44	2.21e-09	3.56e-08
"chr3"	58167938	58168438	501	"*"	4.97	5.92	0.94	4.98	2.22e-09	3.58e-08
"chr6"	36938467	36938967	501	"*"	7.89	7.25	8.33	-1.08	2.23e-09	3.58e-08
"chr1"	150809652	150810152	501	"*"	5.35	6.16	3.35	2.81	2.23e-09	3.59e-08
"chr13"	41563253	41563753	501	"*"	5.27	6.11	3.06	3.04	2.23e-09	3.59e-08
"chr11"	66967546	66968046	501	"*"	5	5.9	2.14	3.75	2.26e-09	3.63e-08
"chr5"	59089707	59090207	501	"*"	4.96	5.91	0.98	4.93	2.26e-09	3.64e-08
"chr3"	46209470	46209970	501	"*"	5.03	5.94	1.93	4.01	2.27e-09	3.65e-08
"chr20"	41717331	41717831	501	"*"	4.93	5.85	1.76	4.09	2.27e-09	3.66e-08
"chr17"	9937083	9937583	501	"*"	4.96	5.91	0.98	4.93	2.28e-09	3.67e-08
"chr10"	75127554	75128054	501	"*"	5.41	6.39	-0.04	6.43	2.29e-09	3.68e-08
"chr13"	39414882	39415382	501	"*"	5.42	6.41	-0.04	6.45	2.29e-09	3.68e-08
"chr2"	73993794	73994294	501	"*"	4.96	5.91	0.98	4.93	2.3e-09	3.69e-08
"chr16"	82195993	82196493	501	"*"	4.93	5.87	1.31	4.56	2.31e-09	3.71e-08
"chr3"	123586898	123587398	501	"*"	5.25	6.09	3.06	3.03	2.33e-09	3.75e-08
"chr5"	139710796	139711296	501	"*"	5.55	3.82	6.32	-2.5	2.35e-09	3.78e-08
"chr5"	173464708	173465208	501	"*"	5.84	6.56	4.31	2.25	2.35e-09	3.78e-08
"chr15"	85551418	85551918	501	"*"	4.96	5.88	1.8	4.08	2.35e-09	3.78e-08
"chr5"	72138860	72139360	501	"*"	7.09	6.23	7.62	-1.39	2.36e-09	3.79e-08
"chr15"	37035268	37035768	501	"*"	5.98	6.69	4.53	2.16	2.36e-09	3.79e-08
"chr9"	70347107	70347607	501	"*"	5.43	6.41	-0.04	6.45	2.37e-09	3.81e-08
"chr1"	192485722	192486222	501	"*"	9.33	8.88	9.68	-0.8	2.38e-09	3.81e-08
"chr12"	127509372	127509872	501	"*"	7.63	8.12	6.9	1.22	2.38e-09	3.82e-08
"chr13"	24159246	24159746	501	"*"	4.92	5.86	1.31	4.56	2.39e-09	3.83e-08
"chr16"	47713121	47713621	501	"*"	6.32	6.96	5.13	1.84	2.39e-09	3.84e-08
"chr6"	26447119	26447619	501	"*"	5.42	6.4	-0.04	6.44	2.4e-09	3.85e-08
"chr12"	108540586	108541086	501	"*"	5.41	6.39	-0.04	6.43	2.41e-09	3.87e-08
"chr2"	201422028	201422528	501	"*"	5.4	6.39	-0.04	6.42	2.42e-09	3.88e-08
"chr10"	3754911	3755411	501	"*"	5.82	6.58	4.14	2.44	2.43e-09	3.89e-08
"chr15"	89117814	89118314	501	"*"	5.4	6.39	-0.04	6.42	2.43e-09	3.9e-08
"chr6"	13445272	13445772	501	"*"	4.96	5.91	0.98	4.93	2.43e-09	3.9e-08
"chr1"	59730775	59731275	501	"*"	8.41	7.85	8.81	-0.97	2.46e-09	3.94e-08
"chr3"	99901165	99901665	501	"*"	7.7	7.03	8.15	-1.12	2.46e-09	3.95e-08
"chr1"	26036406	26036906	501	"*"	4.99	5.89	2.14	3.75	2.47e-09	3.96e-08
"chr5"	143009071	143009571	501	"*"	5.51	3.66	6.29	-2.63	2.48e-09	3.97e-08
"chr8"	71919308	71919808	501	"*"	5.61	6.37	3.92	2.45	2.49e-09	3.98e-08
"chr1"	50542882	50543382	501	"*"	5.55	3.82	6.32	-2.5	2.49e-09	3.99e-08
"chr6"	1695566	1696066	501	"*"	4.93	5.85	1.57	4.28	2.49e-09	3.99e-08
"chr1"	170520544	170521044	501	"*"	6.49	5.39	7.1	-1.72	2.49e-09	3.99e-08
"chr7"	47786672	47787172	501	"*"	8.6	8.06	8.99	-0.93	2.5e-09	3.99e-08
"chr2"	9481098	9481598	501	"*"	5.06	6.03	0.56	5.47	2.5e-09	4e-08
"chr5"	34519659	34520159	501	"*"	6.26	6.9	5.05	1.85	2.51e-09	4.01e-08
"chr12"	28870991	28871491	501	"*"	5.06	6.03	0.53	5.5	2.52e-09	4.03e-08
"chr6"	105359803	105360303	501	"*"	6.5	7.11	5.44	1.67	2.54e-09	4.05e-08
"chr3"	14388085	14388585	501	"*"	5.06	6.03	0.53	5.5	2.55e-09	4.07e-08
"chr8"	109277564	109278064	501	"*"	5.39	6.38	-0.04	6.42	2.55e-09	4.07e-08
"chr9"	117715590	117716090	501	"*"	4.94	5.88	1.31	4.58	2.56e-09	4.08e-08
"chr1"	109979615	109980115	501	"*"	6.63	5.63	7.22	-1.6	2.56e-09	4.08e-08
"chr16"	47320759	47321259	501	"*"	5.58	6.37	3.7	2.67	2.56e-09	4.08e-08
"chr2"	11899430	11899930	501	"*"	5.06	6.03	0.53	5.5	2.56e-09	4.09e-08
"chr14"	51597499	51597999	501	"*"	8.18	7.59	8.6	-1.01	2.57e-09	4.1e-08
"chr9"	107733161	107733661	501	"*"	5.78	6.52	4.2	2.32	2.57e-09	4.1e-08
"chr12"	114316020	114316520	501	"*"	6.61	5.57	7.21	-1.64	2.58e-09	4.12e-08
"chr14"	29464939	29465439	501	"*"	6.47	5.37	7.08	-1.71	2.59e-09	4.14e-08
"chr3"	21053990	21054490	501	"*"	5.42	6.4	-0.04	6.44	2.6e-09	4.14e-08
"chr12"	120244985	120245485	501	"*"	5.03	5.91	2.42	3.49	2.6e-09	4.15e-08
"chr10"	34434231	34434731	501	"*"	5.09	5.95	2.66	3.3	2.61e-09	4.16e-08
"chr2"	55732916	55733416	501	"*"	7.62	6.93	8.08	-1.15	2.61e-09	4.16e-08
"chr1"	45892261	45892761	501	"*"	5.61	6.38	3.88	2.5	2.62e-09	4.17e-08
"chr5"	120778455	120778955	501	"*"	5.81	4.27	6.54	-2.27	2.64e-09	4.21e-08
"chr1"	78831609	78832109	501	"*"	7.36	6.57	7.87	-1.3	2.66e-09	4.23e-08
"chr6"	53309027	53309527	501	"*"	5.4	6.2	3.43	2.77	2.66e-09	4.24e-08
"chr5"	135993899	135994399	501	"*"	8.66	8.14	9.03	-0.89	2.67e-09	4.24e-08
"chr1"	182197498	182197998	501	"*"	5.41	6.39	-0.04	6.43	2.67e-09	4.24e-08
"chr5"	96582313	96582813	501	"*"	5.98	6.68	4.57	2.11	2.67e-09	4.25e-08
"chr1"	167136174	167136674	501	"*"	5.83	6.78	1.93	4.85	2.67e-09	4.25e-08
"chr11"	27410268	27410768	501	"*"	5.7	3.99	6.46	-2.47	2.69e-09	4.27e-08
"chr3"	123667722	123668222	501	"*"	5.76	4.03	6.53	-2.49	2.7e-09	4.29e-08
"chr1"	84726743	84727243	501	"*"	7.97	7.31	8.41	-1.1	2.7e-09	4.29e-08
"chr2"	72965760	72966260	501	"*"	5.39	6.37	-0.04	6.41	2.7e-09	4.29e-08
"chr18"	7755796	7756296	501	"*"	5.39	6.37	-0.04	6.41	2.7e-09	4.29e-08
"chr1"	24438500	24439000	501	"*"	5.39	6.37	-0.04	6.41	2.71e-09	4.31e-08
"chr20"	47411131	47411631	501	"*"	5.39	6.37	-0.04	6.41	2.72e-09	4.31e-08
"chr13"	40272264	40272764	501	"*"	6.35	7.01	5.07	1.94	2.72e-09	4.31e-08
"chr2"	46135865	46136365	501	"*"	5.44	6.23	3.55	2.68	2.72e-09	4.32e-08
"chr3"	70856677	70857177	501	"*"	6.45	5.34	7.07	-1.73	2.72e-09	4.33e-08
"chr4"	57119080	57119580	501	"*"	7.13	6.26	7.67	-1.41	2.75e-09	4.37e-08
"chr14"	29144671	29145171	501	"*"	7.86	7.16	8.33	-1.17	2.77e-09	4.4e-08
"chr20"	13551723	13552223	501	"*"	4.95	5.87	1.77	4.1	2.77e-09	4.4e-08
"chr13"	40762753	40763253	501	"*"	6.24	5.04	6.89	-1.85	2.78e-09	4.4e-08
"chr4"	70759050	70759550	501	"*"	5.08	6.05	0.53	5.51	2.79e-09	4.43e-08
"chr3"	48130528	48131028	501	"*"	6.96	7.5	6.07	1.43	2.81e-09	4.45e-08
"chr8"	130808829	130809329	501	"*"	5.73	6.47	4.17	2.3	2.81e-09	4.46e-08
"chr22"	36263301	36263801	501	"*"	5.41	6.39	-0.04	6.43	2.82e-09	4.47e-08
"chr7"	111265367	111265867	501	"*"	4.93	5.87	1.29	4.58	2.82e-09	4.47e-08
"chr19"	10946907	10947407	501	"*"	6.3	5.14	6.94	-1.8	2.82e-09	4.48e-08
"chr4"	128225012	128225512	501	"*"	6.34	5.18	6.97	-1.79	2.82e-09	4.48e-08
"chr13"	101700519	101701019	501	"*"	6.03	6.73	4.6	2.12	2.84e-09	4.5e-08
"chr10"	88042665	88043165	501	"*"	4.92	5.85	1.52	4.33	2.84e-09	4.5e-08
"chr8"	129874314	129874814	501	"*"	4.93	5.86	1.56	4.3	2.85e-09	4.51e-08
"chr12"	76679689	76680189	501	"*"	7	6.13	7.54	-1.41	2.86e-09	4.52e-08
"chr3"	31354186	31354686	501	"*"	5.34	6.15	3.35	2.8	2.86e-09	4.52e-08
"chr11"	27613115	27613615	501	"*"	6.68	5.7	7.26	-1.56	2.86e-09	4.53e-08
"chr17"	40307146	40307646	501	"*"	4.91	0.91	5.86	-4.95	2.87e-09	4.54e-08
"chr10"	62099330	62099830	501	"*"	5.38	6.36	-0.04	6.4	2.87e-09	4.54e-08
"chr15"	48954592	48955092	501	"*"	5.01	5.91	2.1	3.81	2.88e-09	4.55e-08
"chr6"	45650528	45651028	501	"*"	6.23	6.91	4.91	2	2.88e-09	4.56e-08
"chr2"	66493454	66493954	501	"*"	5.38	6.37	-0.04	6.41	2.89e-09	4.56e-08
"chr12"	96485092	96485592	501	"*"	7.54	6.81	8.02	-1.22	2.89e-09	4.58e-08
"chr1"	61337943	61338443	501	"*"	6.49	7.1	5.38	1.73	2.9e-09	4.58e-08
"chr3"	61615589	61616089	501	"*"	5.06	6.03	0.56	5.47	2.9e-09	4.58e-08
"chr1"	236009832	236010332	501	"*"	7.63	8.11	6.9	1.21	2.9e-09	4.58e-08
"chr1"	200342741	200343241	501	"*"	5.47	3.62	6.26	-2.64	2.91e-09	4.6e-08
"chr10"	125155122	125155622	501	"*"	5.06	6.03	0.53	5.49	2.91e-09	4.6e-08
"chr7"	135768918	135769418	501	"*"	5.4	6.38	-0.04	6.42	2.92e-09	4.61e-08
"chr11"	94185347	94185847	501	"*"	6.5	5.38	7.12	-1.73	2.93e-09	4.62e-08
"chr7"	94301015	94301515	501	"*"	7.21	7.72	6.43	1.29	2.93e-09	4.62e-08
"chr1"	148424175	148424675	501	"*"	5.11	5.97	2.65	3.31	2.94e-09	4.64e-08
"chr8"	23335842	23336342	501	"*"	7.08	7.62	6.2	1.41	2.95e-09	4.65e-08
"chr6"	85464152	85464652	501	"*"	7.77	7.12	8.22	-1.09	2.96e-09	4.67e-08
