"seqnames"	"start"	"end"	"width"	"strand"	"Conc"	"Conc_dex"	"Conc_control"	"Fold"	"p.value"	"FDR"
"chr6"	148508980	148509480	501	"*"	4.41	5.22	2.35	2.88	1.68e-05	0.00156
"chr13"	109243532	109244032	501	"*"	5.56	6.16	4.49	1.67	1.68e-05	0.00156
"chr9"	130933082	130933582	501	"*"	4.02	1.32	4.9	-3.59	1.69e-05	0.00157
"chr11"	122367552	122368052	501	"*"	4.12	1.74	4.97	-3.23	1.74e-05	0.0016
"chr9"	21681494	21681994	501	"*"	4.85	3.39	5.56	-2.17	1.77e-05	0.00163
"chr14"	23143748	23144248	501	"*"	3.96	4.88	0.76	4.12	1.84e-05	0.00168
"chr12"	32647020	32647520	501	"*"	4.71	5.46	3.05	2.41	1.89e-05	0.00172
"chr9"	70419199	70419699	501	"*"	6.79	7.23	6.14	1.09	1.89e-05	0.00172
"chr2"	64831384	64831884	501	"*"	4.32	2.1	5.15	-3.05	1.9e-05	0.00173
"chr6"	127458739	127459239	501	"*"	4	4.9	1.2	3.7	1.96e-05	0.00177
"chr4"	147855579	147856079	501	"*"	4.23	5.07	1.92	3.15	2.04e-05	0.00184
"chr4"	80293953	80294453	501	"*"	4.42	2.5	5.22	-2.71	2.05e-05	0.00184
"chr8"	23356048	23356548	501	"*"	4.49	2.67	5.27	-2.6	2.06e-05	0.00185
"chr2"	28626861	28627361	501	"*"	4.62	5.4	2.82	2.58	2.07e-05	0.00185
"chr2"	37911943	37912443	501	"*"	3.95	4.91	-0.16	5.06	2.09e-05	0.00185
"chr4"	47852096	47852596	501	"*"	4.41	5.21	2.46	2.75	2.09e-05	0.00185
"chr2"	69773040	69773540	501	"*"	3.92	4.86	0.37	4.49	2.15e-05	0.0019
"chr10"	44985214	44985714	501	"*"	4.21	5.06	1.8	3.26	2.16e-05	0.0019
"chr8"	22685232	22685732	501	"*"	3.96	1.16	4.85	-3.69	2.16e-05	0.0019
"chr1"	8259196	8259696	501	"*"	4.88	5.6	3.4	2.2	2.22e-05	0.00194
"chr17"	62759960	62760460	501	"*"	4.01	4.91	1.06	3.85	2.25e-05	0.00196
"chr12"	64181220	64181720	501	"*"	5.01	3.7	5.68	-1.98	2.26e-05	0.00196
"chr14"	23155042	23155542	501	"*"	4.2	5.06	1.76	3.29	2.26e-05	0.00196
"chr10"	126090807	126091307	501	"*"	3.79	-0.37	4.74	-5.12	2.32e-05	0.002
"chr1"	198123179	198123679	501	"*"	4.44	2.61	5.22	-2.61	2.35e-05	0.00202
"chr13"	30033618	30034118	501	"*"	4.77	3.24	5.49	-2.25	2.35e-05	0.00202
"chr11"	132056613	132057113	501	"*"	4.68	3.12	5.42	-2.3	2.36e-05	0.00202
"chr6"	12009551	12010051	501	"*"	4.15	1.92	4.98	-3.06	2.39e-05	0.00203
"chr17"	82698381	82698881	501	"*"	5.88	6.42	5	1.42	2.41e-05	0.00205
"chr10"	5446391	5446891	501	"*"	7.4	7.78	6.89	0.89	2.43e-05	0.00205
"chr17"	64565205	64565705	501	"*"	4.18	1.85	5.03	-3.17	2.45e-05	0.00206
"chr11"	75347915	75348415	501	"*"	3.89	4.82	0.48	4.34	2.47e-05	0.00208
"chr2"	205682100	205682600	501	"*"	8.07	8.4	7.64	0.76	2.48e-05	0.00208
"chr2"	121500976	121501476	501	"*"	4.98	5.67	3.6	2.07	2.49e-05	0.00208
"chr12"	11719624	11720124	501	"*"	4.71	3.07	5.45	-2.38	2.53e-05	0.0021
"chrUn_KI270337v1"	229	729	501	"*"	5.65	6.26	4.61	1.65	2.58e-05	0.00215
"chr20"	25250423	25250923	501	"*"	4.39	5.19	2.43	2.76	2.61e-05	0.00216
"chr8"	38851380	38851880	501	"*"	3.92	4.88	-0.16	5.03	2.61e-05	0.00216
"chr3"	55343687	55344187	501	"*"	3.9	4.86	-0.16	5.01	2.64e-05	0.00217
"chr8"	8548314	8548814	501	"*"	3.78	-0.37	4.74	-5.11	2.64e-05	0.00217
"chr7"	137462064	137462564	501	"*"	3.75	0.16	4.68	-4.52	2.7e-05	0.00221
"chr17"	64640200	64640700	501	"*"	4.2	2.1	5.02	-2.92	2.71e-05	0.00221
"chr6"	35590541	35591041	501	"*"	3.93	4.89	-0.16	5.04	2.71e-05	0.00221
"chr5"	111929852	111930352	501	"*"	4.22	2.07	5.05	-2.97	2.86e-05	0.00231
"chr2"	207769609	207770109	501	"*"	4.98	5.68	3.59	2.09	2.89e-05	0.00233
"chr11"	14189869	14190369	501	"*"	3.88	4.84	-0.16	4.99	2.89e-05	0.00233
"chr17"	8144074	8144574	501	"*"	3.9	4.86	-0.16	5.02	2.93e-05	0.00235
"chr14"	96207307	96207807	501	"*"	3.84	0.85	4.74	-3.89	2.96e-05	0.00236
"chr19"	42113541	42114041	501	"*"	3.84	0.85	4.74	-3.89	2.96e-05	0.00236
"chr15"	36738678	36739178	501	"*"	3.87	4.79	0.48	4.31	3e-05	0.00238
"chr7"	102933608	102934108	501	"*"	4.25	5.07	2.13	2.94	3.02e-05	0.00239
"chr1"	3352377	3352877	501	"*"	4.2	5.05	1.92	3.13	3.03e-05	0.00239
"chr2"	150697540	150698040	501	"*"	4.17	5.03	1.76	3.26	3.04e-05	0.00239
"chr5"	95812458	95812958	501	"*"	3.89	4.84	-0.16	5	3.04e-05	0.00239
"chr4"	80279336	80279836	501	"*"	3.77	-0.37	4.72	-5.1	3.07e-05	0.00241
"chr2"	73931779	73932279	501	"*"	4.03	4.92	1.31	3.6	3.08e-05	0.00241
"chr8"	99547305	99547805	501	"*"	3.72	0.16	4.66	-4.5	3.12e-05	0.00243
"chr3"	37860454	37860954	501	"*"	6.75	7.18	6.13	1.05	3.15e-05	0.00244
"chr12"	89947859	89948359	501	"*"	4.23	1.98	5.07	-3.09	3.15e-05	0.00244
"chr16"	86477424	86477924	501	"*"	4.31	5.12	2.32	2.8	3.21e-05	0.00248
"chr1"	241640029	241640529	501	"*"	6.45	6.95	5.68	1.27	3.23e-05	0.00248
"chr2"	28635059	28635559	501	"*"	3.87	4.83	-0.16	4.98	3.24e-05	0.00248
"chr15"	55825594	55826094	501	"*"	3.88	4.83	-0.16	4.99	3.24e-05	0.00248
"chr20"	49400272	49400772	501	"*"	3.89	4.84	-0.16	5	3.29e-05	0.00251
"chr18"	3367768	3368268	501	"*"	3.86	4.82	-0.16	4.97	3.31e-05	0.00252
"chr2"	216551395	216551895	501	"*"	4.59	5.34	2.94	2.4	3.36e-05	0.00255
"chr16"	55486968	55487468	501	"*"	5.39	4.31	6	-1.69	3.38e-05	0.00256
"chr20"	38985622	38986122	501	"*"	4.78	5.51	3.27	2.23	3.39e-05	0.00256
"chr14"	76961511	76962011	501	"*"	5.47	4.43	6.07	-1.64	3.4e-05	0.00256
"chr22"	24245681	24246181	501	"*"	5.55	6.15	4.51	1.64	3.43e-05	0.00257
"chr2"	237449424	237449924	501	"*"	3.85	4.8	-0.16	4.96	3.49e-05	0.00261
"chr20"	36474808	36475308	501	"*"	3.72	0.27	4.65	-4.39	3.51e-05	0.00262
"chr12"	32534018	32534518	501	"*"	6.64	7.08	6	1.07	3.52e-05	0.00262
"chr6"	158026382	158026882	501	"*"	4.27	2.13	5.1	-2.97	3.55e-05	0.00263
"chr5"	31193515	31194015	501	"*"	5.63	4.58	6.24	-1.66	3.56e-05	0.00263
"chr10"	95273426	95273926	501	"*"	3.84	4.79	-0.16	4.95	3.61e-05	0.00266
"chr2"	144553354	144553854	501	"*"	3.94	4.84	1.06	3.78	3.61e-05	0.00266
"chr6"	129141480	129141980	501	"*"	4.34	5.14	2.4	2.74	3.63e-05	0.00266
"chr7"	16028006	16028506	501	"*"	5.8	6.34	4.91	1.43	3.64e-05	0.00266
"chr6"	138597264	138597764	501	"*"	3.83	4.76	0.37	4.39	3.67e-05	0.00267
"chr15"	95278486	95278986	501	"*"	4.21	5.06	1.88	3.18	3.72e-05	0.00271
"chr20"	51750014	51750514	501	"*"	4.49	2.76	5.25	-2.49	3.77e-05	0.00273
"chr17"	64611119	64611619	501	"*"	3.72	-0.37	4.67	-5.04	3.84e-05	0.00278
"chr12"	46518855	46519355	501	"*"	3.94	4.83	1.06	3.77	3.85e-05	0.00278
"chr10"	68992853	68993353	501	"*"	4.01	4.88	1.48	3.39	3.86e-05	0.00278
"chr10"	63268916	63269416	501	"*"	5.57	4.61	6.14	-1.53	3.88e-05	0.00278
"chr17"	77121763	77122263	501	"*"	3.83	4.78	-0.16	4.94	3.89e-05	0.00278
"chr4"	119219674	119220174	501	"*"	3.83	4.78	-0.16	4.94	3.89e-05	0.00278
"chr4"	2860856	2861356	501	"*"	3.92	4.82	1.06	3.76	3.92e-05	0.00278
"chr8"	118912894	118913394	501	"*"	4.73	3.1	5.47	-2.37	3.92e-05	0.00278
"chr16"	84832390	84832890	501	"*"	5.4	6.01	4.3	1.72	3.99e-05	0.00282
"chr6"	111604672	111605172	501	"*"	6.68	7.11	6.06	1.05	3.99e-05	0.00282
"chr3"	169699459	169699959	501	"*"	3.8	4.74	0.37	4.36	4.07e-05	0.00287
"chr12"	114413738	114414238	501	"*"	5.71	6.27	4.79	1.49	4.12e-05	0.00289
"chr11"	65912611	65913111	501	"*"	5.05	3.77	5.71	-1.94	4.16e-05	0.00291
"chrX"	107673887	107674387	501	"*"	3.82	4.77	-0.16	4.93	4.16e-05	0.00291
"chr16"	72985187	72985687	501	"*"	3.81	4.74	0.48	4.25	4.19e-05	0.00292
"chr4"	119189504	119190004	501	"*"	3.81	4.77	-0.16	4.92	4.23e-05	0.00294
"chr12"	75480579	75481079	501	"*"	7.21	6.67	7.6	-0.93	4.25e-05	0.00295
"chr12"	54421163	54421663	501	"*"	5.79	6.36	4.85	1.51	4.27e-05	0.00295
"chr10"	104260440	104260940	501	"*"	5.72	6.28	4.8	1.48	4.3e-05	0.00297
"chr12"	51441513	51442013	501	"*"	3.92	4.81	1.06	3.75	4.32e-05	0.00297
"chr3"	39180494	39180994	501	"*"	5.54	6.12	4.54	1.58	4.42e-05	0.00303
"chr9"	70601444	70601944	501	"*"	4.72	5.44	3.2	2.24	4.46e-05	0.00305
"chr1"	16498958	16499458	501	"*"	6.73	7.15	6.13	1.02	4.47e-05	0.00305
"chr7"	107924514	107925014	501	"*"	3.8	4.75	-0.16	4.91	4.54e-05	0.00309
"chr4"	106365441	106365941	501	"*"	3.97	1.5	4.83	-3.33	4.55e-05	0.00309
"chr5"	9447646	9448146	501	"*"	3.81	4.76	-0.16	4.92	4.56e-05	0.00309
"chr13"	109750694	109751194	501	"*"	4.57	5.32	2.94	2.38	4.59e-05	0.0031
"chr16"	1533448	1533948	501	"*"	6.25	6.74	5.49	1.25	4.6e-05	0.0031
"chr15"	80834024	80834524	501	"*"	3.69	-0.37	4.64	-5.02	4.63e-05	0.00311
"chr2"	28661499	28661999	501	"*"	4.24	5.05	2.2	2.86	4.69e-05	0.00315
"chr14"	72608299	72608799	501	"*"	4.16	2.01	4.99	-2.97	4.77e-05	0.00319
"chr2"	217279470	217279970	501	"*"	3.75	0.71	4.66	-3.95	4.8e-05	0.00319
"chr9"	21615870	21616370	501	"*"	4.57	2.98	5.3	-2.32	4.81e-05	0.00319
"chr7"	15936585	15937085	501	"*"	4.06	4.93	1.53	3.4	4.81e-05	0.00319
"chr1"	9687220	9687720	501	"*"	4.15	2.04	4.97	-2.92	4.89e-05	0.00323
"chr3"	178295113	178295613	501	"*"	3.86	4.76	0.92	3.84	5.02e-05	0.00331
"chr17"	72126448	72126948	501	"*"	5.32	4.22	5.94	-1.72	5.04e-05	0.00332
"chr3"	101151429	101151929	501	"*"	4.12	4.97	1.76	3.2	5.09e-05	0.00334
"chr19"	44588337	44588837	501	"*"	4.19	2.19	4.99	-2.81	5.1e-05	0.00334
"chr14"	35878759	35879259	501	"*"	3.8	4.76	-0.16	4.91	5.13e-05	0.00335
"chr7"	74028344	74028844	501	"*"	8.71	8.99	8.36	0.63	5.14e-05	0.00335
"chr2"	28665046	28665546	501	"*"	4.43	5.22	2.55	2.67	5.15e-05	0.00335
"chr15"	98894141	98894641	501	"*"	3.78	4.73	-0.16	4.89	5.18e-05	0.00336
"chr10"	3811262	3811762	501	"*"	4.39	5.18	2.51	2.67	5.24e-05	0.00338
"chr6"	166627476	166627976	501	"*"	7.21	7.6	6.67	0.93	5.24e-05	0.00338
"chr7"	106485893	106486393	501	"*"	4.19	5.03	1.96	3.07	5.3e-05	0.00341
"chr16"	86669823	86670323	501	"*"	3.82	4.73	0.84	3.88	5.33e-05	0.00343
"chr6"	35681753	35682253	501	"*"	4.02	4.88	1.63	3.25	5.37e-05	0.00344
"chr12"	55842674	55843174	501	"*"	5.73	6.28	4.83	1.44	5.4e-05	0.00344
"chr17"	64595826	64596326	501	"*"	4.52	2.85	5.27	-2.42	5.4e-05	0.00344
"chr22"	42994889	42995389	501	"*"	6.21	6.69	5.48	1.21	5.47e-05	0.00348
"chr19"	43265367	43265867	501	"*"	3.9	1.46	4.77	-3.31	5.48e-05	0.00348
"chr14"	96261297	96261797	501	"*"	3.66	-0.37	4.61	-4.98	5.49e-05	0.00348
"chr1"	150281961	150282461	501	"*"	6.05	6.55	5.28	1.27	5.51e-05	0.00348
"chr11"	111944382	111944882	501	"*"	4.92	5.59	3.6	1.99	5.54e-05	0.00349
"chr15"	25863067	25863567	501	"*"	6.58	7.04	5.88	1.16	5.62e-05	0.00353
"chr13"	43004845	43005345	501	"*"	3.77	4.73	-0.16	4.88	5.72e-05	0.00359
"chr17"	64608311	64608811	501	"*"	4.35	2.57	5.12	-2.55	5.81e-05	0.00363
"chr5"	98428551	98429051	501	"*"	3.77	4.73	-0.16	4.88	5.82e-05	0.00363
"chr2"	45238110	45238610	501	"*"	4.28	5.1	2.26	2.84	5.88e-05	0.00366
"chr12"	47903707	47904207	501	"*"	5.49	4.51	6.07	-1.55	5.93e-05	0.00368
"chr3"	73521086	73521586	501	"*"	5.16	5.8	3.96	1.84	6.06e-05	0.00376
"chr20"	25251593	25252468	876	"*"	4.38	5.16	2.58	2.58	6.09e-05	0.00376
"chr8"	48643255	48643755	501	"*"	3.87	4.76	1.13	3.63	6.09e-05	0.00376
"chr13"	109783838	109784338	501	"*"	4.44	5.2	2.72	2.48	6.28e-05	0.00386
"chr14"	80606341	80606841	501	"*"	3.82	4.72	0.92	3.8	6.31e-05	0.00387
"chr10"	89535380	89535880	501	"*"	3.74	4.69	-0.16	4.85	6.37e-05	0.00389
"chr6"	150373184	150373684	501	"*"	3.74	4.69	-0.16	4.85	6.37e-05	0.00389
"chr12"	29725765	29726265	501	"*"	3.76	4.71	-0.16	4.86	6.43e-05	0.00392
"chr20"	34270132	34270632	501	"*"	3.75	4.7	-0.16	4.86	6.45e-05	0.00392
"chr1"	109370912	109371412	501	"*"	5.45	6.04	4.45	1.59	6.51e-05	0.00395
"chr6"	35678920	35679420	501	"*"	3.74	4.69	-0.16	4.84	6.63e-05	0.00402
"chr1"	150561430	150561930	501	"*"	7.6	7.94	7.16	0.78	6.67e-05	0.00403
"chr9"	92141095	92141595	501	"*"	5.01	5.66	3.77	1.89	6.75e-05	0.00407
"chr8"	118107698	118108198	501	"*"	4.64	3.17	5.36	-2.18	6.86e-05	0.00413
"chr6"	111554965	111555465	501	"*"	4.08	4.93	1.76	3.17	6.9e-05	0.00414
"chr2"	190501598	190502098	501	"*"	3.95	4.81	1.48	3.33	6.91e-05	0.00414
"chr5"	159787158	159787658	501	"*"	4.63	5.36	3.12	2.24	6.94e-05	0.00415
"chr2"	113158823	113159323	501	"*"	4.13	4.96	1.96	3	6.99e-05	0.00417
"chr7"	2104051	2104551	501	"*"	4.16	2.16	4.96	-2.8	7.03e-05	0.00417
"chr1"	209707182	209707682	501	"*"	3.74	4.69	-0.16	4.84	7.03e-05	0.00417
"chr12"	11797519	11798019	501	"*"	5.12	3.95	5.76	-1.81	7.05e-05	0.00418
"chr4"	20193917	20194417	501	"*"	4.34	2.57	5.11	-2.54	7.13e-05	0.00421
"chr2"	216633194	216633694	501	"*"	5.27	5.91	4.09	1.82	7.14e-05	0.00421
"chr1"	94553206	94553706	501	"*"	4.28	5.07	2.37	2.7	7.21e-05	0.00424
"chr5"	68261424	68261924	501	"*"	3.73	4.68	-0.16	4.83	7.28e-05	0.00427
"chr14"	51707327	51707827	501	"*"	3.66	0.55	4.57	-4.03	7.29e-05	0.00427
"chr19"	2032144	2032644	501	"*"	3.72	4.67	-0.16	4.83	7.33e-05	0.00428
"chr10"	110651438	110651938	501	"*"	3.59	-0.37	4.54	-4.92	7.58e-05	0.00442
"chr2"	188772944	188773444	501	"*"	3.75	4.67	0.48	4.19	7.62e-05	0.00442
"chr6"	35571309	35571809	501	"*"	3.98	4.84	1.53	3.3	7.64e-05	0.00442
"chr13"	27270623	27271123	501	"*"	7.6	7.94	7.15	0.79	7.64e-05	0.00442
"chr9"	21677742	21678242	501	"*"	5.53	4.57	6.1	-1.53	7.67e-05	0.00442
"chr15"	80837209	80837709	501	"*"	3.58	-0.37	4.54	-4.91	7.7e-05	0.00442
"chr8"	118826362	118826862	501	"*"	3.58	-0.37	4.54	-4.91	7.7e-05	0.00442
"chr14"	96262145	96262645	501	"*"	3.59	-0.37	4.54	-4.91	7.72e-05	0.00442
"chr20"	44552831	44553331	501	"*"	4.2	2.32	4.99	-2.68	7.72e-05	0.00442
"chr3"	30597204	30597704	501	"*"	4.7	5.44	3.05	2.4	7.76e-05	0.00444
"chr2"	33152936	33153436	501	"*"	5.5	6.08	4.52	1.57	7.81e-05	0.00445
"chr11"	114060728	114061228	501	"*"	3.71	4.66	-0.16	4.81	7.83e-05	0.00445
"chr4"	37890924	37891424	501	"*"	4.91	5.58	3.6	1.97	7.83e-05	0.00445
"chr21"	27244331	27244831	501	"*"	3.7	4.65	-0.16	4.81	7.88e-05	0.00446
"chr11"	122123792	122124292	501	"*"	3.95	1.5	4.81	-3.31	7.95e-05	0.00449
"chr2"	238728500	238729000	501	"*"	5.58	6.14	4.64	1.5	7.96e-05	0.00449
"chr17"	8649467	8649967	501	"*"	4.54	2.93	5.28	-2.34	8.05e-05	0.00453
"chr7"	80781499	80781999	501	"*"	3.92	4.79	1.37	3.42	8.07e-05	0.00453
"chr2"	63788062	63788562	501	"*"	3.7	4.65	-0.16	4.8	8.1e-05	0.00453
"chr22"	32717592	32718092	501	"*"	3.58	-0.37	4.53	-4.9	8.1e-05	0.00453
"chr18"	23826023	23826523	501	"*"	3.92	4.8	1.31	3.48	8.13e-05	0.00454
"chr7"	93921627	93922127	501	"*"	6.47	6.92	5.82	1.09	8.17e-05	0.00455
"chr19"	44753153	44753653	501	"*"	5.36	4.3	5.96	-1.66	8.2e-05	0.00456
"chr8"	41798096	41798596	501	"*"	4.02	1.67	4.87	-3.2	8.34e-05	0.00462
"chr3"	188624217	188624717	501	"*"	3.97	4.83	1.53	3.29	8.39e-05	0.00465
"chr11"	122162566	122163066	501	"*"	3.72	0.85	4.62	-3.76	8.42e-05	0.00465
"chr2"	128584363	128584863	501	"*"	4.71	5.42	3.24	2.18	8.46e-05	0.00466
"chr2"	121502143	121502643	501	"*"	4.34	5.13	2.46	2.68	8.51e-05	0.00468
"chr2"	179104650	179105150	501	"*"	3.69	4.64	-0.16	4.79	8.59e-05	0.00471
"chr6"	157770830	157771330	501	"*"	3.6	0.27	4.53	-4.26	8.62e-05	0.00472
"chr1"	234997340	234997840	501	"*"	6.03	6.54	5.23	1.31	8.75e-05	0.00478
"chr3"	183253831	183254331	501	"*"	4.41	5.17	2.69	2.48	8.84e-05	0.00482
"chr19"	18607353	18607853	501	"*"	4.05	1.88	4.88	-2.99	8.86e-05	0.00482
"chr3"	156602991	156603491	501	"*"	3.78	4.67	0.92	3.75	8.94e-05	0.00486
"chr5"	134465875	134466375	501	"*"	6.12	6.6	5.38	1.22	9e-05	0.00488
"chr9"	86946986	86947486	501	"*"	5.21	5.83	4.1	1.73	9.07e-05	0.00491
"chr4"	122764817	122765317	501	"*"	5.15	4.05	5.77	-1.71	9.11e-05	0.00492
"chrX"	10240941	10241441	501	"*"	4.06	4.91	1.71	3.19	9.18e-05	0.00495
"chr11"	57597952	57598452	501	"*"	5.58	6.15	4.62	1.53	9.21e-05	0.00495
"chr3"	40116359	40116859	501	"*"	3.86	4.74	1.26	3.48	9.23e-05	0.00495
"chr3"	100954883	100955383	501	"*"	3.98	4.83	1.67	3.16	9.32e-05	0.00499
"chr1"	116384202	116384702	501	"*"	3.69	4.61	0.48	4.13	9.38e-05	0.00501
"chr5"	179824751	179825251	501	"*"	3.85	1.46	4.7	-3.24	9.42e-05	0.00502
"chr5"	140339621	140340121	501	"*"	4.13	2.19	4.93	-2.74	9.42e-05	0.00502
"chr2"	216640865	216641365	501	"*"	3.68	4.63	-0.16	4.79	9.45e-05	0.00502
"chr5"	172283548	172284048	501	"*"	7.09	7.47	6.57	0.9	9.46e-05	0.00502
"chr13"	30799087	30799587	501	"*"	4.27	5.06	2.34	2.72	9.56e-05	0.00506
"chr17"	77140318	77140818	501	"*"	7.01	7.41	6.45	0.96	9.59e-05	0.00506
"chr3"	9884435	9884935	501	"*"	3.96	4.82	1.53	3.29	9.6e-05	0.00506
"chr4"	119225968	119226468	501	"*"	4.17	4.98	2.1	2.88	9.62e-05	0.00506
"chr17"	61260238	61260738	501	"*"	3.69	4.61	0.48	4.13	9.66e-05	0.00507
"chr8"	133492906	133493406	501	"*"	4.11	4.94	1.92	3.02	9.69e-05	0.00508
"chr9"	94867779	94868279	501	"*"	5.24	4.18	5.84	-1.66	9.73e-05	0.00509
"chr10"	72259854	72260354	501	"*"	4.98	5.63	3.77	1.86	9.85e-05	0.00514
"chr17"	8618868	8619368	501	"*"	3.57	0.27	4.5	-4.23	9.87e-05	0.00514
"chr12"	11766153	11766653	501	"*"	4.78	3.46	5.46	-2	9.94e-05	0.00517
"chr1"	116385066	116385566	501	"*"	3.77	4.67	0.76	3.91	9.96e-05	0.00517
"chr6"	7650680	7651180	501	"*"	3.81	4.7	1.06	3.64	9.99e-05	0.00517
"chr12"	60535286	60535786	501	"*"	3.66	4.61	-0.16	4.76	0.000101	0.0052
"chr6"	111567919	111568419	501	"*"	3.67	4.6	0.37	4.23	0.000101	0.00522
"chr5"	74315938	74316438	501	"*"	4.39	2.74	5.14	-2.39	0.000101	0.00522
"chr6"	44064472	44064972	501	"*"	4.07	2.07	4.88	-2.8	0.000102	0.00524
"chr5"	95818468	95818968	501	"*"	3.97	4.83	1.53	3.3	0.000102	0.00525
"chr2"	101120547	101121047	501	"*"	3.76	4.66	0.92	3.73	0.000103	0.00526
"chr2"	128313758	128314258	501	"*"	3.66	4.6	-0.16	4.76	0.000104	0.00529
"chr9"	5509665	5510165	501	"*"	6.21	5.51	6.69	-1.18	0.000105	0.00537
"chr20"	32204166	32204666	501	"*"	3.68	4.63	-0.16	4.79	0.000106	0.00537
"chr13"	109752206	109752706	501	"*"	3.65	4.6	-0.16	4.75	0.000107	0.00544
"chr9"	121365113	121365613	501	"*"	3.65	4.6	-0.16	4.75	0.000108	0.00546
"chr3"	156605831	156606331	501	"*"	5.83	6.36	4.98	1.38	0.000109	0.00549
"chr5"	98309666	98310166	501	"*"	5.78	4.95	6.3	-1.36	0.00011	0.00554
"chr15"	49255789	49256289	501	"*"	4.66	5.38	3.18	2.2	0.000111	0.00557
"chr22"	45504403	45504903	501	"*"	6.15	6.62	5.43	1.19	0.000112	0.00564
"chr3"	149225071	149225571	501	"*"	4.38	2.69	5.13	-2.45	0.000113	0.00569
"chr19"	18225932	18226432	501	"*"	4.28	2.55	5.04	-2.49	0.000114	0.00569
"chr11"	122157144	122157644	501	"*"	5.86	5.07	6.37	-1.3	0.000116	0.0058
"chr7"	130960483	130960983	501	"*"	6.15	5.44	6.62	-1.17	0.000117	0.00582
"chr9"	129626112	129626612	501	"*"	7.87	7.46	8.19	-0.72	0.000117	0.00582
"chr10"	79158842	79159342	501	"*"	5.18	4.12	5.79	-1.66	0.000117	0.00582
"chr15"	80830673	80831173	501	"*"	3.81	1.32	4.68	-3.36	0.000117	0.00582
"chr6"	73696045	73696545	501	"*"	6.41	6.85	5.76	1.09	0.000118	0.00582
"chr4"	24795352	24795852	501	"*"	6.14	6.61	5.43	1.17	0.000119	0.00588
"chr10"	102632591	102633091	501	"*"	3.6	0.55	4.51	-3.96	0.00012	0.00593
"chr6"	11770604	11771104	501	"*"	4.71	3.32	5.4	-2.09	0.000121	0.00595
"chr13"	43055068	43055568	501	"*"	4.33	5.1	2.6	2.5	0.000121	0.00595
"chr5"	128537947	128538447	501	"*"	6.1	6.58	5.38	1.2	0.000122	0.00598
"chr12"	80033452	80033952	501	"*"	4.05	2.04	4.86	-2.82	0.000123	0.006
"chr6"	37239901	37240401	501	"*"	5	3.86	5.63	-1.77	0.000123	0.006
"chr18"	22485753	22486253	501	"*"	3.63	4.57	-0.16	4.73	0.000123	0.006
"chr19"	43525186	43525686	501	"*"	4.42	2.83	5.16	-2.32	0.000123	0.00601
"chr10"	5447628	5448128	501	"*"	3.66	4.57	0.48	4.09	0.000124	0.00603
"chr1"	59994483	59994983	501	"*"	4.07	4.89	2.03	2.85	0.000124	0.00604
"chr1"	116408483	116408983	501	"*"	3.62	4.57	-0.16	4.72	0.000126	0.00609
"chr3"	194572269	194572769	501	"*"	4.6	3.19	5.3	-2.11	0.000127	0.00612
"chr12"	54418939	54419439	501	"*"	7.69	8.02	7.25	0.77	0.000127	0.00614
"chr3"	37170097	37170597	501	"*"	3.73	4.62	0.92	3.7	0.000128	0.00617
"chr20"	3681362	3681862	501	"*"	5.45	6.02	4.51	1.5	0.00013	0.00625
"chr18"	9055162	9055662	501	"*"	4.32	5.11	2.43	2.68	0.000131	0.00628
"chr3"	24507306	24507806	501	"*"	4.21	5	2.35	2.65	0.000131	0.00628
"chr20"	25233359	25233859	501	"*"	4.26	5.05	2.38	2.67	0.000133	0.00634
"chr18"	45957060	45957560	501	"*"	4.85	3.59	5.52	-1.93	0.000133	0.00634
"chr13"	30910166	30910666	501	"*"	3.82	4.69	1.26	3.43	0.000133	0.00634
"chr15"	67148379	67148879	501	"*"	3.49	-0.37	4.43	-4.81	0.000134	0.00637
"chr3"	172557583	172558083	501	"*"	3.62	4.56	-0.16	4.72	0.000135	0.00638
"chr19"	7198099	7198599	501	"*"	6.11	6.59	5.39	1.2	0.000135	0.00638
"chr19"	18208056	18208556	501	"*"	5.69	4.82	6.23	-1.41	0.000135	0.00641
"chr21"	45432857	45433357	501	"*"	3.7	4.6	0.76	3.84	0.000136	0.00641
"chr12"	101891532	101892032	501	"*"	5.89	5.13	6.39	-1.25	0.000137	0.00647
"chr22"	35393614	35394114	501	"*"	4.06	1.82	4.9	-3.08	0.000137	0.00647
"chr18"	57737610	57738110	501	"*"	4.56	3.1	5.27	-2.17	0.000138	0.00647
"chr14"	96212208	96212708	501	"*"	3.5	-0.37	4.45	-4.82	0.00014	0.00655
"chr2"	30412227	30412727	501	"*"	3.6	4.55	-0.16	4.7	0.000141	0.00657
"chr7"	35762252	35762752	501	"*"	3.6	4.55	-0.16	4.7	0.000141	0.00657
"chr8"	93382723	93383223	501	"*"	3.93	4.79	1.53	3.26	0.000141	0.00657
"chr7"	45920969	45921469	501	"*"	6.87	6.24	7.3	-1.06	0.000142	0.00662
"chr14"	96260403	96260903	501	"*"	4.69	3.35	5.37	-2.02	0.000142	0.00662
"chr14"	51731803	51732303	501	"*"	6.02	5.3	6.5	-1.2	0.000143	0.00663
"chr3"	42779206	42779706	501	"*"	5.32	5.9	4.32	1.59	0.000145	0.00673
"chr18"	8801199	8801699	501	"*"	4.77	3.43	5.45	-2.02	0.000146	0.00677
"chr16"	72677768	72678268	501	"*"	4.24	5.01	2.46	2.56	0.000148	0.00682
