"seqnames"	"start"	"end"	"width"	"strand"	"width.1"	"strand.1"	"Conc"	"Conc_dex"	"Conc_control"	"Fold"	"p.value"	"FDR"	"annotation"	"geneChr"	"geneStart"	"geneEnd"	"geneLength"	"geneStrand"	"geneId"	"transcriptId"	"distanceToTSS"	"ENSEMBL"	"SYMBOL"	"GENENAME"
"chr3"	105366589	105367088	500	"*"	501	"*"	7.07	7.53	6.39	1.14	7.96e-06	0.000934	"Promoter (<=1kb)"	3	105366909	105576900	209992	1	"214"	"uc003dvx.4"	0	"ENSG00000170017"	"ALCAM"	"activated leukocyte cell adhesion molecule"
"chr1"	205321492	205321991	500	"*"	501	"*"	6.58	5.87	7.05	-1.19	8e-06	0.000934	"Promoter (<=1kb)"	1	205302059	205321791	19733	2	"81788"	"uc001hce.5"	0	"ENSG00000163545"	"NUAK2"	"NUAK family kinase 2"
"chr15"	39283513	39284012	500	"*"	501	"*"	4.09	5.05	-0.16	5.21	8.02e-06	0.000934	"Intron (uc059hmx.1/uc059hmx.1, intron 1 of 3)"	15	39250766	39252913	2148	1	"400360"	"uc059hnf.1"	32747	"ENSG00000175746"	"C15orf54"	"chromosome 15 open reading frame 54 (putative)"
"chr21"	28762129	28762628	500	"*"	501	"*"	4.71	5.48	2.98	2.5	8.16e-06	0.000945	"Distal Intergenic"	21	28872191	28885371	13181	2	"29104"	"uc002ymo.3"	122743	"ENSG00000156239"	"N6AMT1"	"N-6 adenine-specific DNA methyltransferase 1"
"chr14"	23183374	23183873	500	"*"	501	"*"	4.42	5.24	2.29	2.96	8.39e-06	0.000967	"Promoter (<=1kb)"	14	23125295	23183640	58346	2	"23428"	"uc001wiz.5"	0	"ENSG00000092068"	"SLC7A8"	"solute carrier family 7 member 8"
"chr11"	70019525	70020024	500	"*"	501	"*"	3.95	0.71	4.87	-4.17	8.59e-06	0.000987	"Intron (uc058erg.1/uc058erg.1, intron 1 of 2)"	11	70056230	70063924	7695	2	"101928443"	"uc058eri.1"	43900	"ENSG00000248844"	"LOC101928443"	"uncharacterized LOC101928443"
"chr5"	157563421	157563920	500	"*"	501	"*"	3.94	0.71	4.86	-4.15	8.74e-06	0.000997	"Intron (uc063jdl.1/8728, intron 3 of 22)"	5	157395534	157575775	180242	2	"8728"	"uc063jdl.1"	11855	"ENSG00000135074"	"ADAM19"	"ADAM metallopeptidase domain 19"
"chr12"	27343500	27343999	500	"*"	501	"*"	3.97	0.16	4.91	-4.75	8.77e-06	0.000997	"Intron (uc009zji.3/56938, intron 1 of 15)"	12	27332854	27425289	92436	1	"56938"	"uc009zji.3"	10646	"ENSG00000029153"	"ARNTL2"	"aryl hydrocarbon receptor nuclear translocator like 2"
"chr20"	44730610	44731109	500	"*"	501	"*"	4.19	1.55	5.07	-3.52	8.8e-06	0.000997	"Intron (uc061xft.1/106144538, intron 1 of 2)"	20	44694892	44738896	44005	2	"106144538"	"uc061xft.1"	7787	NA	"KCNK15-AS1"	"KCNK15 antisense RNA 1 (head to head)"
"chr2"	109322149	109322648	500	"*"	501	"*"	4.33	5.18	1.96	3.23	8.84e-06	0.000997	"Intron (uc010ywt.2/344558, intron 1 of 9)"	2	109129348	109504632	375285	1	"344558"	"uc010ywt.2"	192801	"ENSG00000172985"	"SH3RF3"	"SH3 domain containing ring finger 3"
"chr7"	120989212	120989711	500	"*"	501	"*"	5.34	4.16	5.99	-1.83	8.87e-06	0.000997	"Promoter (<=1kb)"	7	120989599	121261799	272201	1	"79974"	"uc003vjs.5"	0	"ENSG00000106034"	"CPED1"	"cadherin like and PC-esterase domain containing 1"
"chr17"	61325832	61326331	500	"*"	501	"*"	5.89	4.97	6.45	-1.48	9.35e-06	0.00105	"Intron (uc060ihw.1/54828, intron 22 of 25)"	17	60677852	61392831	714980	1	"54828"	"uc060ihw.1"	647980	"ENSG00000141376"	"BCAS3"	"BCAS3, microtubule associated cell migration factor"
"chr12"	51907231	51907730	500	"*"	501	"*"	5.55	6.18	4.39	1.8	9.43e-06	0.00105	"Promoter (<=1kb)"	12	51907418	51921069	13652	1	"94"	"uc001rzj.4"	0	"ENSG00000139567"	"ACVRL1"	"activin A receptor like type 1"
"chr7"	22732453	22732952	500	"*"	501	"*"	4.8	3.23	5.54	-2.31	9.76e-06	0.00108	"Distal Intergenic"	7	22728500	22729788	1289	1	"3569"	"uc064bxx.1"	3953	"ENSG00000136244"	"IL6"	"interleukin 6"
"chr2"	229407102	229407601	500	"*"	501	"*"	4.39	5.25	2.03	3.22	9.92e-06	0.00109	"Exon (uc002vpv.4/92737, exon 10 of 13)"	2	229357629	229714558	356930	2	"92737"	"uc002vpv.4"	306957	"ENSG00000187957"	"DNER"	"delta/notch like EGF repeat containing"
"chr13"	30340522	30341021	500	"*"	501	"*"	4.08	4.98	1.2	3.78	9.97e-06	0.00109	"Exon (uc001usu.3/100188949, exon 5 of 5)"	13	30340270	30373899	33630	2	"100188949"	"uc001usu.3"	32878	"ENSG00000238121"	"LINC00426"	"long intergenic non-protein coding RNA 426"
"chr5"	122154748	122155247	500	"*"	501	"*"	5.23	5.89	3.95	1.94	9.97e-06	0.00109	"Exon (uc063gjc.1/uc063gjc.1, exon 1 of 2)"	5	122129622	122179617	49996	1	"133923"	"uc063gjf.1"	25126	"ENSG00000164185"	"ZNF474"	"zinc finger protein 474"
"chr9"	91428990	91429489	500	"*"	501	"*"	4.27	5.15	1.71	3.43	1.01e-05	0.0011	"Distal Intergenic"	9	91409045	91423862	14818	2	"4783"	"uc004arh.3"	-5128	"ENSG00000165030"	"NFIL3"	"nuclear factor, interleukin 3 regulated"
"chr6"	25006423	25006922	500	"*"	501	"*"	4.08	5.04	-0.16	5.2	1.01e-05	0.0011	"Intron (uc011dju.4/9750, intron 1 of 13)"	6	24839373	25042168	202796	2	"9750"	"uc011dju.4"	35246	"ENSG00000111913"	"RIPOR2"	"RHO family interacting cell polarization regulator 2"
"chr7"	55018817	55019316	500	"*"	501	"*"	7.36	7.77	6.79	0.98	1.04e-05	0.00112	"Promoter (<=1kb)"	7	55019021	55203076	184056	1	"1956"	"uc010kzg.3"	0	"ENSG00000146648"	"EGFR"	"epidermal growth factor receptor"
"chr17"	8142786	8143285	500	"*"	501	"*"	4.05	5.01	-0.16	5.17	1.04e-05	0.00112	"3' UTR"	17	8140472	8152435	11964	2	"5187"	"uc002gkd.4"	9150	"ENSG00000179094"	"PER1"	"period circadian regulator 1"
"chr19"	11539059	11539558	500	"*"	501	"*"	5.18	3.83	5.86	-2.03	1.04e-05	0.00112	"Promoter (<=1kb)"	19	11538717	11550323	11607	1	"1264"	"uc002msc.2"	342	"ENSG00000130176"	"CNN1"	"calponin 1"
"chr12"	102023297	102023796	500	"*"	501	"*"	4.1	5.06	-0.16	5.22	1.05e-05	0.00113	"Intron (uc058siz.1/51019, intron 7 of 7)"	12	102012927	102061974	49048	2	"51019"	"uc058siz.1"	38178	"ENSG00000120860"	"WASHC3"	"WASH complex subunit 3"
"chr6"	35370497	35370996	500	"*"	501	"*"	3.96	0.85	4.87	-4.02	1.1e-05	0.00117	"Intron (uc003okm.3/5467, intron 2 of 7)"	6	35342558	35428191	85634	1	"5467"	"uc003okm.3"	27939	"ENSG00000112033"	"PPARD"	"peroxisome proliferator activated receptor delta"
"chr17"	21297952	21298451	500	"*"	501	"*"	3.99	1.04	4.89	-3.85	1.12e-05	0.00118	"5' UTR"	17	21284672	21315213	30542	1	"5606"	"uc060cse.1"	13280	"ENSG00000034152"	"MAP2K3"	"mitogen-activated protein kinase kinase 3"
"chr14"	61466102	61466601	500	"*"	501	"*"	4.48	5.29	2.4	2.89	1.13e-05	0.00119	"Intron (uc059cfd.1/5583, intron 1 of 3)"	14	61187559	61530584	343026	1	"5583"	"uc059cfd.1"	278543	"ENSG00000027075"	"PRKCH"	"protein kinase C eta"
"chr7"	27116796	27117295	500	"*"	501	"*"	4.2	1.67	5.07	-3.4	1.14e-05	0.0012	"Promoter (2-3kb)"	7	27106184	27119595	13412	2	"3200"	"uc011jzl.3"	2300	"ENSG00000105997"	"HOXA3"	"homeobox A3"
"chr14"	85471665	85472164	500	"*"	501	"*"	4.2	1.92	5.05	-3.13	1.17e-05	0.00122	"Intron (uc059dzk.1/uc059dzk.1, intron 1 of 4)"	14	85530144	85654426	124283	1	"23768"	"uc001xvr.4"	-57980	"ENSG00000185070"	"FLRT2"	"fibronectin leucine rich transmembrane protein 2"
"chr16"	56632464	56632963	500	"*"	501	"*"	5.24	5.9	3.99	1.91	1.2e-05	0.00125	"Promoter (<=1kb)"	16	56632707	56633518	812	1	"4499"	"uc059umg.1"	0	"ENSG00000205364"	"MT1M"	"metallothionein 1M"
"chr17"	8153981	8154480	500	"*"	501	"*"	4.94	5.7	3.19	2.51	1.21e-05	0.00125	"Promoter (1-2kb)"	17	8144055	8156360	12306	2	"5187"	"uc010vur.2"	1880	"ENSG00000179094"	"PER1"	"period circadian regulator 1"
"chr11"	128053148	128053647	500	"*"	501	"*"	4	1.1	4.9	-3.79	1.27e-05	0.00131	"Distal Intergenic"	11	128462544	128463950	1407	2	"2113"	"uc058jan.1"	410303	"ENSG00000134954"	"ETS1"	"ETS proto-oncogene 1, transcription factor"
"chr5"	172770911	172771410	500	"*"	501	"*"	9.62	9.9	9.27	0.63	1.28e-05	0.00132	"Promoter (<=1kb)"	5	172768090	172771195	3106	2	"1843"	"uc003mbv.3"	0	"ENSG00000120129"	"DUSP1"	"dual specificity phosphatase 1"
"chr14"	68550375	68550874	500	"*"	501	"*"	3.97	4.9	0.48	4.42	1.32e-05	0.00136	"Intron (uc059csa.1/uc059csa.1, intron 10 of 10)"	14	67819808	68595996	776189	1	"5890"	"uc001xkf.3"	730567	"ENSG00000182185"	"RAD51B"	"RAD51 paralog B"
"chr15"	34794863	34795362	500	"*"	501	"*"	3.88	-0.37	4.84	-5.21	1.32e-05	0.00136	"Intron (uc001zit.1/101928174, intron 2 of 2)"	15	34755084	34812923	57840	1	"101928174"	"uc001zit.1"	39779	"ENSG00000250007"	"LOC101928174"	"uncharacterized LOC101928174"
"chr3"	30492643	30493142	500	"*"	501	"*"	4.03	4.99	-0.16	5.14	1.38e-05	0.0014	"Distal Intergenic"	3	30606502	30694134	87633	1	"7048"	"uc003ceo.4"	-113360	"ENSG00000163513"	"TGFBR2"	"transforming growth factor beta receptor 2"
"chr20"	50395248	50395747	500	"*"	501	"*"	4	4.96	-0.16	5.11	1.41e-05	0.00143	"Distal Intergenic"	20	50310711	50321342	10632	2	"101927586"	"uc032pmh.1"	-73906	"ENSG00000233077"	"LINC01271"	"long intergenic non-protein coding RNA 1271"
"chr11"	5225103	5225602	500	"*"	501	"*"	4.04	5	-0.16	5.16	1.42e-05	0.00144	"Promoter (1-2kb)"	11	5225464	5227071	1608	2	"3043"	"uc001mae.2"	1469	"ENSG00000244734"	"HBB"	"hemoglobin subunit beta"
"chr3"	62159719	62160218	500	"*"	501	"*"	4	4.95	-0.16	5.11	1.43e-05	0.00144	"Intron (uc003dlc.4/5793, intron 7 of 28)"	3	61561911	62293329	731419	1	"5793"	"uc003dlc.4"	597808	"ENSG00000144724"	"PTPRG"	"protein tyrosine phosphatase, receptor type G"
"chr10"	103852267	103852766	500	"*"	501	"*"	5.19	5.87	3.87	2	1.44e-05	0.00144	"Promoter (2-3kb)"	10	103594027	103855543	261517	2	"9644"	"uc057vtj.1"	2777	"ENSG00000107957"	"SH3PXD2A"	"SH3 and PX domains 2A"
"chr3"	156668338	156668837	500	"*"	501	"*"	3.96	4.89	0.48	4.41	1.44e-05	0.00144	"Distal Intergenic"	3	156673235	156705139	31905	1	"25976"	"uc062pgt.1"	-4398	"ENSG00000163659"	"TIPARP"	"TCDD inducible poly(ADP-ribose) polymerase"
"chr7"	151680693	151681192	500	"*"	501	"*"	4	4.95	-0.16	5.11	1.45e-05	0.00144	"Intron (uc003wkk.4/51422, intron 3 of 15)"	7	151556111	151877125	321015	2	"51422"	"uc003wkk.4"	195933	"ENSG00000106617"	"PRKAG2"	"protein kinase AMP-activated non-catalytic subunit gamma 2"
"chr5"	140336162	140336661	500	"*"	501	"*"	3.91	0.92	4.81	-3.89	1.46e-05	0.00145	"Intron (uc003lfi.4/1839, intron 3 of 5)"	5	140332843	140346631	13789	2	"1839"	"uc003lfi.4"	9970	"ENSG00000113070"	"HBEGF"	"heparin binding EGF like growth factor"
"chr15"	67127939	67128438	500	"*"	501	"*"	4.98	3.6	5.68	-2.08	1.46e-05	0.00145	"Promoter (<=1kb)"	15	67128103	67187447	59345	1	"4088"	"uc059kov.1"	0	"ENSG00000166949"	"SMAD3"	"SMAD family member 3"
"chr11"	19995049	19995548	500	"*"	501	"*"	4.07	4.97	1.26	3.71	1.48e-05	0.00146	"Intron (uc001mpp.4/89797, intron 11 of 37)"	11	19350724	20121598	770875	1	"89797"	"uc001mpp.4"	644325	"ENSG00000166833"	"NAV2"	"neuron navigator 2"
"chr18"	58579009	58579508	500	"*"	501	"*"	4.68	3.04	5.43	-2.39	1.51e-05	0.00148	"Promoter (<=1kb)"	18	58538140	58579024	40885	2	"115701"	"uc060ppd.1"	0	"ENSG00000198796"	"ALPK2"	"alpha kinase 2"
"chr6"	12297758	12298257	500	"*"	501	"*"	4.12	1.55	4.99	-3.45	1.51e-05	0.00148	"Distal Intergenic"	6	12290363	12297194	6832	1	"1906"	"uc003nae.5"	7395	"ENSG00000078401"	"EDN1"	"endothelin 1"
"chr11"	122202049	122202548	500	"*"	501	"*"	6.82	6.19	7.26	-1.08	1.52e-05	0.00148	"Promoter (<=1kb)"	11	122155422	122203062	47641	2	"399959"	"uc058int.1"	514	"ENSG00000255248"	"MIR100HG"	"mir-100-let-7a-2-mir-125b-1 cluster host gene"
"chr8"	47631883	47632382	500	"*"	501	"*"	4.01	4.97	-0.16	5.12	1.52e-05	0.00148	"Intron (uc003xqd.5/23514, intron 10 of 19)"	8	47260575	47736306	475732	1	"23514"	"uc003xqd.5"	371308	"ENSG00000164808"	"SPIDR"	"scaffold protein involved in DNA repair"
"chr11"	61891259	61891758	500	"*"	501	"*"	7.13	7.53	6.56	0.98	1.53e-05	0.00148	"Promoter (<=1kb)"	11	61873526	61891534	18009	2	"3995"	"uc001nsm.5"	0	"ENSG00000221968"	"FADS3"	"fatty acid desaturase 3"
"chr4"	158171148	158171647	500	"*"	501	"*"	3.98	4.94	-0.16	5.1	1.54e-05	0.00148	"Promoter (1-2kb)"	4	158124474	158173050	48577	2	"51313"	"uc003ipr.5"	1403	"ENSG00000164125"	"FAM198B"	"family with sequence similarity 198 member B"
"chr18"	11981154	11981653	500	"*"	501	"*"	6.22	6.72	5.43	1.3	1.54e-05	0.00148	"Promoter (<=1kb)"	18	11981428	12008360	26933	1	"3613"	"uc060nlv.1"	0	"ENSG00000141401"	"IMPA2"	"inositol monophosphatase 2"
"chr20"	4835481	4835980	500	"*"	501	"*"	4.15	5.02	1.58	3.44	1.55e-05	0.00148	"Distal Intergenic"	20	4780023	4823645	43623	2	"9770"	"uc002wlf.3"	-11836	"ENSG00000101265"	"RASSF2"	"Ras association domain family member 2"
"chr2"	216549583	216550082	500	"*"	501	"*"	3.98	4.94	-0.16	5.1	1.56e-05	0.00148	"Intron (uc061sft.1/6168, intron 3 of 3)"	2	216498855	216579180	80326	1	"6168"	"uc061sft.1"	50728	"ENSG00000197756"	"RPL37A"	"ribosomal protein L37a"
"chr19"	2050956	2051455	500	"*"	501	"*"	8.17	8.51	7.71	0.8	1.57e-05	0.00149	"Promoter (<=1kb)"	19	2037465	2051224	13760	2	"2872"	"uc002lur.3"	0	"ENSG00000099875"	"MKNK2"	"MAP kinase interacting serine/threonine kinase 2"
"chr14"	22848337	22848836	500	"*"	501	"*"	5.84	4.92	6.4	-1.48	1.63e-05	0.00154	"Intron (uc058zju.1/4323, intron 9 of 9)"	14	22836576	22849027	12452	1	"4323"	"uc058zju.1"	11761	"ENSG00000157227"	"MMP14"	"matrix metallopeptidase 14"
"chr2"	10122546	10123045	500	"*"	501	"*"	4.88	3.44	5.58	-2.15	1.63e-05	0.00154	"Promoter (<=1kb)"	2	10122568	10131419	8852	1	"6241"	"uc021vdr.3"	0	"ENSG00000171848"	"RRM2"	"ribonucleotide reductase regulatory subunit M2"
"chr9"	21502002	21502501	500	"*"	501	"*"	3.91	0.85	4.82	-3.97	1.64e-05	0.00154	"Intron (uc003zpe.3/554202, intron 1 of 3)"	9	21455642	21559669	104028	2	"554202"	"uc003zpe.3"	57168	NA	"MIR31HG"	"MIR31 host gene"
"chr4"	183588180	183588679	500	"*"	501	"*"	4.44	5.26	2.34	2.92	1.65e-05	0.00154	"Distal Intergenic"	4	183651280	183656096	4817	2	"201965"	"uc063bgr.1"	67417	"ENSG00000182552"	"RWDD4"	"RWD domain containing 4"
"chr6"	148508981	148509480	500	"*"	501	"*"	4.41	5.22	2.35	2.88	1.68e-05	0.00156	"Intron (uc003qme.2/23328, intron 8 of 19)"	6	148342593	148552050	209458	1	"23328"	"uc003qme.2"	166388	"ENSG00000111961"	"SASH1"	"SAM and SH3 domain containing 1"
"chr13"	109243533	109244032	500	"*"	501	"*"	5.56	6.16	4.49	1.67	1.68e-05	0.00156	"Distal Intergenic"	13	109163902	109201483	37582	2	"100885782"	"uc031qng.2"	-42050	"ENSG00000236242"	"MYO16-AS1"	"MYO16 antisense RNA 1"
"chr9"	130933083	130933582	500	"*"	501	"*"	4.02	1.32	4.9	-3.59	1.69e-05	0.00157	"Intron (uc011mcc.2/84929, intron 2 of 7)"	9	130902438	130939068	36631	2	"84929"	"uc011mcc.2"	5486	"ENSG00000130720"	"FIBCD1"	"fibrinogen C domain containing 1"
"chr11"	122367553	122368052	500	"*"	501	"*"	4.12	1.74	4.97	-3.23	1.74e-05	0.0016	"Promoter (<=1kb)"	11	122180338	122367973	187636	2	"399959"	"uc009zbb.2"	0	"ENSG00000255248"	"MIR100HG"	"mir-100-let-7a-2-mir-125b-1 cluster host gene"
"chr9"	21681495	21681994	500	"*"	501	"*"	4.85	3.39	5.56	-2.17	1.77e-05	0.00163	"Distal Intergenic"	9	21802543	21867078	64536	1	"4507"	"uc003zph.4"	-120549	"ENSG00000099810"	"MTAP"	"methylthioadenosine phosphorylase"
"chr14"	23143749	23144248	500	"*"	501	"*"	3.96	4.88	0.76	4.12	1.84e-05	0.00168	"Intron (uc058zpd.1/23428, intron 1 of 6)"	14	23125295	23155309	30015	2	"23428"	"uc058zpd.1"	11061	"ENSG00000092068"	"SLC7A8"	"solute carrier family 7 member 8"
"chr12"	32647021	32647520	500	"*"	501	"*"	4.71	5.46	3.05	2.41	1.89e-05	0.00172	"Distal Intergenic"	12	32679200	32745552	66353	1	"10059"	"uc001rle.4"	-31680	"ENSG00000087470"	"DNM1L"	"dynamin 1 like"
"chr9"	70419200	70419699	500	"*"	501	"*"	6.79	7.23	6.14	1.09	1.89e-05	0.00172	"Distal Intergenic"	9	70384597	70414624	30028	2	"687"	"uc004aht.4"	-4576	"ENSG00000119138"	"KLF9"	"Kruppel like factor 9"
"chr2"	64831385	64831884	500	"*"	501	"*"	4.32	2.1	5.15	-3.05	1.9e-05	0.00173	"Distal Intergenic"	2	64846130	64863626	17497	2	"101927438"	"uc002sdf.3"	31742	"ENSG00000234572"	"LINC01800"	"long intergenic non-protein coding RNA 1800"
"chr6"	127458740	127459239	500	"*"	501	"*"	4	4.9	1.2	3.7	1.96e-05	0.00177	"5' UTR"	6	127438406	127519001	80596	2	"387104"	"uc063rfk.1"	59762	"ENSG00000255330"	"SOGA3"	"SOGA family member 3"
"chr4"	147855580	147856079	500	"*"	501	"*"	4.23	5.07	1.92	3.15	2.04e-05	0.00184	"Intron (uc003ile.2/79658, intron 4 of 4)"	4	147732063	147858488	126426	1	"79658"	"uc003ile.2"	123517	"ENSG00000071205"	"ARHGAP10"	"Rho GTPase activating protein 10"
"chr4"	80293954	80294453	500	"*"	501	"*"	4.42	2.5	5.22	-2.71	2.05e-05	0.00184	"Intron (uc062xrb.1/2250, intron 2 of 4)"	4	80266942	80336680	69739	1	"2250"	"uc062xrb.1"	27012	"ENSG00000138675"	"FGF5"	"fibroblast growth factor 5"
"chr8"	23356049	23356548	500	"*"	501	"*"	4.49	2.67	5.27	-2.6	2.06e-05	0.00185	"Intron (uc003xdj.3/100507156, intron 2 of 2)"	8	23336208	23366125	29918	1	"100507156"	"uc003xdj.3"	19841	"ENSG00000253837"	"LOC100507156"	"uncharacterized LOC100507156"
"chr2"	28626862	28627361	500	"*"	501	"*"	4.62	5.4	2.82	2.58	2.07e-05	0.00185	"Intron (uc002rmb.3/151056, intron 51 of 57)"	2	28496071	28643747	147677	1	"151056"	"uc002rmb.3"	130791	"ENSG00000163803"	"PLB1"	"phospholipase B1"
"chr2"	37911944	37912443	500	"*"	501	"*"	3.95	4.91	-0.16	5.06	2.09e-05	0.00185	"Distal Intergenic"	2	37925319	38017264	91946	1	"151393"	"uc002rql.4"	-12876	"ENSG00000115841"	"RMDN2"	"regulator of microtubule dynamics 2"
"chr4"	47852097	47852596	500	"*"	501	"*"	4.41	5.21	2.46	2.75	2.09e-05	0.00185	"Promoter (<=1kb)"	4	47851083	47852208	1126	2	"152518"	"uc062wjz.1"	0	"ENSG00000170448"	"NFXL1"	"nuclear transcription factor, X-box binding like 1"
"chr2"	69773041	69773540	500	"*"	501	"*"	3.92	4.86	0.37	4.49	2.15e-05	0.0019	"Intron (uc061kad.1/307, intron 3 of 3)"	2	69644425	69781560	137136	1	"307"	"uc061kad.1"	128616	"ENSG00000196975"	"ANXA4"	"annexin A4"
"chr10"	44985215	44985714	500	"*"	501	"*"	4.21	5.06	1.8	3.26	2.16e-05	0.0019	"Intron (uc057sxs.1/83937, intron 5 of 9)"	10	44959407	44994707	35301	1	"83937"	"uc057sxs.1"	25808	"ENSG00000107551"	"RASSF4"	"Ras association domain family member 4"
"chr8"	22685233	22685732	500	"*"	501	"*"	3.96	1.16	4.85	-3.69	2.16e-05	0.0019	"Downstream (1-2kb)"	8	22691165	22692224	1060	2	"1960"	"uc064lcn.1"	6492	"ENSG00000179388"	"EGR3"	"early growth response 3"
"chr1"	8259197	8259696	500	"*"	501	"*"	4.88	5.6	3.4	2.2	2.22e-05	0.00194	"Distal Intergenic"	1	8208672	8215210	6539	1	"102724539"	"uc057byq.1"	50525	"ENSG00000227634"	"LINC01714"	"long intergenic non-protein coding RNA 1714"
"chr17"	62759961	62760460	500	"*"	501	"*"	4.01	4.91	1.06	3.85	2.25e-05	0.00196	"Promoter (<=1kb)"	17	62749976	62759991	10016	2	"162333"	"uc060ime.1"	0	"ENSG00000173838"	"MARCH10"	"membrane associated ring-CH-type finger 10"
"chr12"	64181221	64181720	500	"*"	501	"*"	5.01	3.7	5.68	-1.98	2.26e-05	0.00196	"Distal Intergenic"	12	64221497	64222263	767	2	"144577"	"uc058qje.1"	40543	"ENSG00000174206"	"C12orf66"	"chromosome 12 open reading frame 66"
"chr14"	23155043	23155542	500	"*"	501	"*"	4.2	5.06	1.76	3.29	2.26e-05	0.00196	"Promoter (<=1kb)"	14	23125295	23155309	30015	2	"23428"	"uc058zpd.1"	0	"ENSG00000092068"	"SLC7A8"	"solute carrier family 7 member 8"
"chr10"	126090808	126091307	500	"*"	501	"*"	3.79	-0.37	4.74	-5.12	2.32e-05	0.002	"Exon (uc057wtl.1/8038, exon 4 of 4)"	10	126012381	126388455	376075	2	"8038"	"uc001ljk.4"	297148	"ENSG00000148848"	"ADAM12"	"ADAM metallopeptidase domain 12"
"chr1"	198123180	198123679	500	"*"	501	"*"	4.44	2.61	5.22	-2.61	2.35e-05	0.00202	"Distal Intergenic"	1	198156963	198322420	165458	1	"140609"	"uc001gun.5"	-33284	"ENSG00000151414"	"NEK7"	"NIMA related kinase 7"
"chr13"	30033619	30034118	500	"*"	501	"*"	4.77	3.24	5.49	-2.25	2.35e-05	0.00202	"Distal Intergenic"	13	30103178	30108868	5691	2	"100874146"	"uc058wdd.1"	74750	"ENSG00000224511"	"LINC00365"	"long intergenic non-protein coding RNA 365"
"chr11"	132056614	132057113	500	"*"	501	"*"	4.68	3.12	5.42	-2.3	2.36e-05	0.00202	"Intron (uc001qgm.4/50863, intron 2 of 7)"	11	131370478	132336822	966345	1	"50863"	"uc001qgm.4"	686136	"ENSG00000182667"	"NTM"	"neurotrimin"
"chr6"	12009552	12010051	500	"*"	501	"*"	4.15	1.92	4.98	-3.06	2.39e-05	0.00203	"Promoter (<=1kb)"	6	12008762	12120157	111396	1	"3096"	"uc063lwy.1"	790	"ENSG00000095951"	"HIVEP1"	"human immunodeficiency virus type I enhancer binding protein 1"
"chr17"	82698382	82698881	500	"*"	501	"*"	5.88	6.42	5	1.42	2.41e-05	0.00205	"Promoter (<=1kb)"	17	82654973	82698728	43756	2	"10966"	"uc002kft.4"	0	"ENSG00000141542"	"RAB40B"	"RAB40B, member RAS oncogene family"
"chr10"	5446392	5446891	500	"*"	501	"*"	7.4	7.78	6.89	0.89	2.43e-05	0.00205	"Promoter (<=1kb)"	10	5446609	5452897	6289	1	"10276"	"uc057rjj.1"	0	"ENSG00000173848"	"NET1"	"neuroepithelial cell transforming 1"
"chr17"	64565206	64565705	500	"*"	501	"*"	4.18	1.85	5.03	-3.17	2.45e-05	0.00206	"Intron (uc060ixq.1/64750, intron 10 of 18)"	17	64542295	64661897	119603	2	"64750"	"uc060ixq.1"	96192	"ENSG00000108854"	"SMURF2"	"SMAD specific E3 ubiquitin protein ligase 2"
"chr11"	75347916	75348415	500	"*"	501	"*"	3.89	4.82	0.48	4.34	2.47e-05	0.00208	"Intron (uc001owe.3/408, intron 1 of 15)"	11	75264182	75351705	87524	2	"408"	"uc001owe.3"	3290	"ENSG00000137486"	"ARRB1"	"arrestin beta 1"
"chr2"	205682101	205682600	500	"*"	501	"*"	8.07	8.4	7.64	0.76	2.48e-05	0.00208	"Promoter (<=1kb)"	2	205682500	205798133	115634	1	"8828"	"uc002vaw.3"	0	"ENSG00000118257"	"NRP2"	"neuropilin 2"
"chr2"	121500977	121501476	500	"*"	501	"*"	4.98	5.67	3.6	2.07	2.49e-05	0.00208	"Intron (uc061nlf.1/23332, intron 8 of 39)"	2	121337776	121649476	311701	2	"23332"	"uc061nlf.1"	148000	"ENSG00000074054"	"CLASP1"	"cytoplasmic linker associated protein 1"
"chr12"	11719625	11720124	500	"*"	501	"*"	4.71	3.07	5.45	-2.38	2.53e-05	0.0021	"Intron (uc001qzz.4/2120, intron 1 of 7)"	12	11649854	11895402	245549	1	"2120"	"uc001qzz.4"	69771	"ENSG00000139083"	"ETV6"	"ETS variant 6"
"chr20"	25250424	25250923	500	"*"	501	"*"	4.39	5.19	2.43	2.76	2.61e-05	0.00216	"Promoter (2-3kb)"	20	25248069	25298014	49946	1	"5834"	"uc002wup.4"	2355	"ENSG00000100994"	"PYGB"	"glycogen phosphorylase B"
"chr8"	38851381	38851880	500	"*"	501	"*"	3.92	4.88	-0.16	5.03	2.61e-05	0.00216	"3' UTR"	8	38787204	38853028	65825	1	"6867"	"uc010lwp.3"	64177	"ENSG00000147526"	"TACC1"	"transforming acidic coiled-coil containing protein 1"
"chr3"	55343688	55344187	500	"*"	501	"*"	3.9	4.86	-0.16	5.01	2.64e-05	0.00217	"Intron (uc062ktu.1/uc062ktu.1, intron 1 of 1)"	3	55479040	55480920	1881	2	"7474"	"uc062kua.1"	136733	"ENSG00000114251"	"WNT5A"	"Wnt family member 5A"
"chr8"	8548315	8548814	500	"*"	501	"*"	3.78	-0.37	4.74	-5.11	2.64e-05	0.00217	"Distal Intergenic"	8	8701938	8704106	2169	1	"137075"	"uc003wsi.4"	-153124	"ENSG00000253958"	"CLDN23"	"claudin 23"
